municipio,codigo_ibge,mesorregiao,populacao,renda_per_capita,lat,lon,tem_museu,tem_teatro_sala_espetaculo,tem_cinema,tem_biblioteca,n_equipamentos
Alcântaras,2300507,Noroeste Cearense,11369,753.79,-3.5869837692,-40.5446381226,False,False,False,True,1
Abaiara,2300101,Sul Cearense,10038,677.33,-7.3569765959,-39.0475466362,False,False,False,True,1
Ararendá,2301257,Sertões Cearenses,11096,623.37,-4.751938272,-40.831096735,False,False,False,True,1
Jaguaribara,2306801,Jaguaribe,10356,892.83,-5.457502034,-38.4630972956,True,False,False,True,2
Potengi,2311207,Sul Cearense,8833,604.42,-7.0901794696,-40.0321325357,True,False,False,True,2
Groaíras,2304905,Noroeste Cearense,10910,753.78,-3.9119541292,-40.3821460239,False,False,False,True,1
Pires Ferreira,2310951,Noroeste Cearense,10606,651.65,-4.2421541432,-40.6465412478,False,False,False,True,1
Martinópole,2307908,Noroeste Cearense,10846,622.75,-3.2250122274,-40.6993551751,False,False,False,True,1
Catunda,2303659,Noroeste Cearense,10444,659.33,-4.6515493857,-40.2058037894,False,False,False,True,1
Deputado Irapuan Pinheiro,2304269,Sertões Cearenses,8932,606.51,-5.9089623738,-39.2615417651,False,False,False,True,1
Tarrafas,2313252,Centro-Sul Cearense,7529,767.47,-6.6825903147,-39.7584941949,False,False,False,True,1
Palhano,2310001,Jaguaribe,9346,838.31,-4.7439450768,-37.9662351611,False,False,False,True,1
Penaforte,2310605,Sul Cearense,8972,712.89,-7.8299146121,-39.0741275241,False,False,False,True,1
Moraújo,2308807,Noroeste Cearense,8254,763.44,-3.4663632744,-40.6835989271,False,False,False,True,1
São João do Jaguaribe,2312502,Jaguaribe,5855,939.84,-5.2686305505,-38.2719407044,False,False,False,True,1
Jati,2307205,Sul Cearense,7861,727.11,-7.6927415948,-39.0051387612,False,False,False,True,1
Arneiroz,2301505,Sertões Cearenses,7429,732.65,-6.319425803,-40.1614437124,False,False,False,True,1
Umari,2313708,Centro-Sul Cearense,6871,629.05,-6.6472443752,-38.7013257159,False,False,False,True,1
Itaiçaba,2306207,Jaguaribe,7536,772.01,-4.6834047119,-37.8216295137,False,False,False,True,1
Antonina do Norte,2300804,Centro-Sul Cearense,7245,793.02,-6.7796878471,-39.9823868419,False,True,False,True,2
Altaneira,2300606,Sul Cearense,6782,699.36,-6.9974983508,-39.7458206389,True,False,False,True,2
Senador Sá,2312809,Noroeste Cearense,7262,623.36,-3.351789628,-40.4637920044,False,False,False,True,1
Ererê,2304277,Jaguaribe,6474,705.28,-6.0313327299,-38.3472589621,True,False,False,True,2
General Sampaio,2304608,Norte Cearense,6734,634.44,-4.0510412747,-39.4535299504,False,True,False,True,2
Potiretama,2311231,Jaguaribe,5974,756.94,-5.7216679037,-38.1579178532,False,False,False,True,1
Baixio,2301802,Centro-Sul Cearense,5704,660.22,-6.7271620493,-38.720125916,False,False,False,True,1
Pacujá,2309904,Noroeste Cearense,6175,723.25,-3.9783943861,-40.6967361073,True,False,False,True,2
Granjeiro,2304806,Sul Cearense,4841,693.39,-6.8888843729,-39.2203088858,False,False,False,True,1
Guaramiranga,2305100,Norte Cearense,5654,748.44,-4.2620509186,-38.9406332851,True,True,False,True,3
